timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1755312307604,22,HTTP Request (Logout-1),200,OK,Thread Group 1-1,text,true,,3194,2335,5,5,https://mow.azurewebsites.net/logout_success,7,0,0
1755312307604,7,HTTP Request (Logout-1)-0,302,,Thread Group 1-1,,true,,571,1255,5,5,https://mow.azurewebsites.net/logout,7,0,0
1755312307611,15,HTTP Request (Logout-1)-1,200,OK,Thread Group 1-1,text,true,,2623,1080,5,5,https://mow.azurewebsites.net/logout_success,15,0,0
1755312307612,20,HTTP Request (Logout-1),200,OK,Thread Group 1-4,text,true,,3194,2335,5,5,https://mow.azurewebsites.net/logout_success,8,0,0
1755312307612,8,HTTP Request (Logout-1)-0,302,,Thread Group 1-4,,true,,571,1255,5,5,https://mow.azurewebsites.net/logout,8,0,0
1755312307620,12,HTTP Request (Logout-1)-1,200,OK,Thread Group 1-4,text,true,,2623,1080,5,5,https://mow.azurewebsites.net/logout_success,12,0,0
1755312307626,9,HTTP Request (Logout-3),200,OK,Thread Group 1-1,text,true,,11330,811,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,8,0,0
1755312307616,23,HTTP Request (Logout-1),200,OK,Thread Group 1-2,text,true,,3194,2335,5,5,https://mow.azurewebsites.net/logout_success,6,0,0
1755312307616,6,HTTP Request (Logout-1)-0,302,,Thread Group 1-2,,true,,571,1255,5,5,https://mow.azurewebsites.net/logout,6,0,0
1755312307622,17,HTTP Request (Logout-1)-1,200,OK,Thread Group 1-2,text,true,,2623,1080,5,5,https://mow.azurewebsites.net/logout_success,17,0,0
1755312307632,9,HTTP Request (Logout-3),200,OK,Thread Group 1-4,text,true,,11330,811,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,8,0,0
1755312307636,7,HTTP Request (Logout-4),200,OK,Thread Group 1-1,text,true,,1483,808,5,5,https://mow.azurewebsites.net/css/styles.css,7,0,0
1755312307622,21,HTTP Request (Logout-1),200,OK,Thread Group 1-3,text,true,,3194,2335,5,5,https://mow.azurewebsites.net/logout_success,4,0,0
1755312307622,4,HTTP Request (Logout-1)-0,302,,Thread Group 1-3,,true,,571,1255,5,5,https://mow.azurewebsites.net/logout,4,0,0
1755312307626,17,HTTP Request (Logout-1)-1,200,OK,Thread Group 1-3,text,true,,2623,1080,5,5,https://mow.azurewebsites.net/logout_success,17,0,0
1755312307642,10,HTTP Request (Logout-4),200,OK,Thread Group 1-4,text,true,,1483,808,5,5,https://mow.azurewebsites.net/css/styles.css,10,0,0
