timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1755310502102,118,HTTP Request (Menu-Planning-1),200,OK,Thread Group 1-2,text,true,,2672,977,5,5,https://mow.azurewebsites.net/menu-planning,118,0,0
1755310501811,409,HTTP Request (Menu-Planning-1),200,OK,Thread Group 1-1,text,true,,2672,977,5,5,https://mow.azurewebsites.net/menu-planning,409,0,0
1755310502220,19,HTTP Request (Menu-Planning-2),200,OK,Thread Group 1-2,text,true,,11330,810,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,18,0,0
1755310502220,19,HTTP Request (Menu-Planning-2),200,OK,Thread Group 1-1,text,true,,11330,810,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,18,0,0
1755310502239,18,HTTP Request (Menu-Planning-3),200,OK,Thread Group 1-2,text,true,,1483,807,5,5,https://mow.azurewebsites.net/css/styles.css,17,0,0
1755310502239,18,HTTP Request (Menu-Planning-3),200,OK,Thread Group 1-1,text,true,,1483,807,5,5,https://mow.azurewebsites.net/css/styles.css,18,0,0
1755310502257,10,HTTP Request (Menu-Planning-4),200,OK,Thread Group 1-1,bin,true,,7236,858,5,5,https://mow.azurewebsites.net/images/logo-mow.png,10,0,0
1755310502257,10,HTTP Request (Menu-Planning-4),200,OK,Thread Group 1-2,bin,true,,7236,858,5,5,https://mow.azurewebsites.net/images/logo-mow.png,10,0,0
1755310502267,15,HTTP Request (Menu-Planning-5),200,OK,Thread Group 1-1,bin,true,,173904,860,5,5,https://mow.azurewebsites.net/images/diet-halal.jpg,12,0,0
1755310502267,15,HTTP Request (Menu-Planning-5),200,OK,Thread Group 1-2,bin,true,,173904,860,5,5,https://mow.azurewebsites.net/images/diet-halal.jpg,12,0,0
1755310502282,24,HTTP Request (Menu-Planning-6),200,OK,Thread Group 1-2,bin,true,,355477,865,5,5,https://mow.azurewebsites.net/images/diet-vegetarian.jpg,16,0,0
1755310502282,24,HTTP Request (Menu-Planning-6),200,OK,Thread Group 1-1,bin,true,,355477,865,5,5,https://mow.azurewebsites.net/images/diet-vegetarian.jpg,17,0,0
