timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1755311401755,167,HTTP Request (Meal-Delivery-1),200,OK,Thread Group 1-1,text,true,,2712,977,3,3,https://mow.azurewebsites.net/meal-delivery,167,0,0
1755311401922,22,HTTP Request (Meal-Delivery-2),200,OK,Thread Group 1-1,text,true,,11330,810,3,3,https://mow.azurewebsites.net/css/jquery-ui.css,22,0,0
1755311401944,12,HTTP Request (Meal-Delivery-3),200,OK,Thread Group 1-1,text,true,,1483,807,3,3,https://mow.azurewebsites.net/css/styles.css,12,0,0
1755311401956,23,HTTP Request (Meal-Delivery-4),200,OK,Thread Group 1-1,bin,true,,7236,858,4,4,https://mow.azurewebsites.net/images/logo-mow.png,23,0,0
1755311401979,58,HTTP Request (Meal-Delivery-5),200,OK,Thread Group 1-1,bin,true,,146158,867,4,4,https://mow.azurewebsites.net/images/pickups-available.jpg,56,0,0
1755311401944,101,HTTP Request (Meal-Delivery-1),200,OK,Thread Group 1-2,text,true,,2712,977,4,4,https://mow.azurewebsites.net/meal-delivery,101,0,0
1755311402037,21,HTTP Request (Meal-Delivery-6),200,OK,Thread Group 1-1,bin,true,,123058,865,4,4,https://mow.azurewebsites.net/images/pickups-current.jpg,16,0,0
1755311402045,22,HTTP Request (Meal-Delivery-2),200,OK,Thread Group 1-2,text,true,,11330,810,4,4,https://mow.azurewebsites.net/css/jquery-ui.css,21,0,0
1755311402058,16,HTTP Request (Meal-Delivery-7),200,OK,Thread Group 1-1,bin,true,,11173,869,4,4,https://mow.azurewebsites.net/images/portrait-lim-ivonne.jpg,16,0,0
1755311402067,13,HTTP Request (Meal-Delivery-3),200,OK,Thread Group 1-2,text,true,,1483,807,4,4,https://mow.azurewebsites.net/css/styles.css,13,0,0
1755311402080,11,HTTP Request (Meal-Delivery-4),200,OK,Thread Group 1-2,bin,true,,7236,858,4,4,https://mow.azurewebsites.net/images/logo-mow.png,11,0,0
1755311402074,21,HTTP Request (Meal-Delivery-8),200,OK,Thread Group 1-1,text,true,,113683,791,4,4,https://mow.azurewebsites.net/js/jquery.js,10,0,0
1755311402091,32,HTTP Request (Meal-Delivery-5),200,OK,Thread Group 1-2,bin,true,,146158,867,4,4,https://mow.azurewebsites.net/images/pickups-available.jpg,30,0,0
1755311402124,22,HTTP Request (Meal-Delivery-6),200,OK,Thread Group 1-2,bin,true,,123058,865,4,4,https://mow.azurewebsites.net/images/pickups-current.jpg,20,0,0
1755311402095,54,HTTP Request (Meal-Delivery-9),200,OK,Thread Group 1-1,text,true,,178280,794,4,4,https://mow.azurewebsites.net/js/jquery-ui.js,26,0,0
1755311402146,14,HTTP Request (Meal-Delivery-7),200,OK,Thread Group 1-2,bin,true,,11173,869,4,4,https://mow.azurewebsites.net/images/portrait-lim-ivonne.jpg,14,0,0
1755311402149,19,HTTP Request (Meal-Delivery-10),200,OK,Thread Group 1-1,text,true,,1217,792,4,4,https://mow.azurewebsites.net/js/scripts.js,19,0,0
1755311401755,413,Transaction Controller (Meal-Delivery),200,"Number of samples in transaction : 10, number of failing samples : 0",Thread Group 1-1,,true,,596330,8430,4,4,null,367,0,0
1755311402161,88,HTTP Request (Meal-Delivery-8),200,OK,Thread Group 1-2,text,true,,113683,791,5,5,https://mow.azurewebsites.net/js/jquery.js,39,0,0
1755311402249,117,HTTP Request (Meal-Delivery-9),200,OK,Thread Group 1-2,text,true,,178280,794,5,5,https://mow.azurewebsites.net/js/jquery-ui.js,34,0,0
1755311402366,29,HTTP Request (Meal-Delivery-10),200,OK,Thread Group 1-2,text,true,,1217,792,5,5,https://mow.azurewebsites.net/js/scripts.js,29,0,0
1755311401943,449,Transaction Controller (Meal-Delivery),200,"Number of samples in transaction : 10, number of failing samples : 0",Thread Group 1-2,,true,,596330,8430,5,5,null,312,3,0
1755311402685,31,HTTP Request (Meal-Delivery-1),200,OK,Thread Group 1-3,text,true,,2712,977,5,5,https://mow.azurewebsites.net/meal-delivery,31,0,0
1755311402716,7,HTTP Request (Meal-Delivery-2),200,OK,Thread Group 1-3,text,true,,11330,810,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,7,0,0
1755311402723,13,HTTP Request (Meal-Delivery-3),200,OK,Thread Group 1-3,text,true,,1483,807,5,5,https://mow.azurewebsites.net/css/styles.css,13,0,0
1755311402736,11,HTTP Request (Meal-Delivery-4),200,OK,Thread Group 1-3,bin,true,,7236,858,5,5,https://mow.azurewebsites.net/images/logo-mow.png,11,0,0
1755311402747,9,HTTP Request (Meal-Delivery-5),200,OK,Thread Group 1-3,bin,true,,146158,867,5,5,https://mow.azurewebsites.net/images/pickups-available.jpg,6,0,0
1755311402756,10,HTTP Request (Meal-Delivery-6),200,OK,Thread Group 1-3,bin,true,,123058,865,5,5,https://mow.azurewebsites.net/images/pickups-current.jpg,9,0,0
1755311402766,8,HTTP Request (Meal-Delivery-7),200,OK,Thread Group 1-3,bin,true,,11173,869,5,5,https://mow.azurewebsites.net/images/portrait-lim-ivonne.jpg,8,0,0
