timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1755307839620,16020,HTTP Request (Home-1),200,OK,Thread Group 1-1,text,true,,3870,1600,5,5,https://mow.azurewebsites.net/home,12494,0,165
1755307839620,12494,HTTP Request (Home-1)-0,302,,Thread Group 1-1,,true,,709,712,5,5,https://mow.azurewebsites.net/,12494,0,165
1755307852115,3525,HTTP Request (Home-1)-1,200,OK,Thread Group 1-1,text,true,,3161,888,5,5,https://mow.azurewebsites.net/home,3524,0,0
1755307839979,15661,HTTP Request (Home-1),200,OK,Thread Group 1-3,text,true,,3870,1600,5,5,https://mow.azurewebsites.net/home,12147,0,13
1755307839979,12147,HTTP Request (Home-1)-0,302,,Thread Group 1-3,,true,,709,712,5,5,https://mow.azurewebsites.net/,12147,0,13
1755307852127,3513,HTTP Request (Home-1)-1,200,OK,Thread Group 1-3,text,true,,3161,888,5,5,https://mow.azurewebsites.net/home,3513,0,0
1755307840377,15264,HTTP Request (Home-1),200,OK,Thread Group 1-5,text,true,,3870,1600,5,5,https://mow.azurewebsites.net/home,11737,0,13
1755307840377,11737,HTTP Request (Home-1)-0,302,,Thread Group 1-5,,true,,709,712,5,5,https://mow.azurewebsites.net/,11737,0,13
1755307852115,3526,HTTP Request (Home-1)-1,200,OK,Thread Group 1-5,text,true,,3161,888,5,5,https://mow.azurewebsites.net/home,3525,0,0
1755307839779,15861,HTTP Request (Home-1),200,OK,Thread Group 1-2,text,true,,3870,1600,5,5,https://mow.azurewebsites.net/home,12335,0,16
1755307839779,12335,HTTP Request (Home-1)-0,302,,Thread Group 1-2,,true,,709,712,5,5,https://mow.azurewebsites.net/,12335,0,16
1755307852115,3525,HTTP Request (Home-1)-1,200,OK,Thread Group 1-2,text,true,,3161,888,5,5,https://mow.azurewebsites.net/home,3525,0,0
1755307840178,15463,HTTP Request (Home-1),200,OK,Thread Group 1-4,text,true,,3870,1600,5,5,https://mow.azurewebsites.net/home,11936,0,14
1755307840178,11936,HTTP Request (Home-1)-0,302,,Thread Group 1-4,,true,,709,712,5,5,https://mow.azurewebsites.net/,11936,0,14
1755307852115,3526,HTTP Request (Home-1)-1,200,OK,Thread Group 1-4,text,true,,3161,888,5,5,https://mow.azurewebsites.net/home,3525,0,0
1755307855642,35,HTTP Request (Home-3),200,OK,Thread Group 1-5,text,true,,11330,801,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,33,0,0
1755307855643,34,HTTP Request (Home-3),200,OK,Thread Group 1-4,text,true,,11316,801,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,32,0,0
1755307855643,35,HTTP Request (Home-3),200,OK,Thread Group 1-2,text,true,,11330,801,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,34,0,0
1755307855642,36,HTTP Request (Home-3),200,OK,Thread Group 1-3,text,true,,11330,801,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,35,0,0
1755307855642,36,HTTP Request (Home-3),200,OK,Thread Group 1-1,text,true,,11323,801,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,35,0,0
1755307855678,15,HTTP Request (Home-4),200,OK,Thread Group 1-5,text,true,,1483,798,5,5,https://mow.azurewebsites.net/css/styles.css,15,0,0
1755307855680,13,HTTP Request (Home-4),200,OK,Thread Group 1-1,text,true,,1483,798,5,5,https://mow.azurewebsites.net/css/styles.css,13,0,0
1755307855678,15,HTTP Request (Home-4),200,OK,Thread Group 1-4,text,true,,1483,798,5,5,https://mow.azurewebsites.net/css/styles.css,15,0,0
1755307855679,14,HTTP Request (Home-4),200,OK,Thread Group 1-3,text,true,,1483,798,5,5,https://mow.azurewebsites.net/css/styles.css,14,0,0
1755307855678,15,HTTP Request (Home-4),200,OK,Thread Group 1-2,text,true,,1483,798,5,5,https://mow.azurewebsites.net/css/styles.css,15,0,0
1755307855694,14,HTTP Request (Home-5),200,OK,Thread Group 1-1,bin,true,,7236,849,5,5,https://mow.azurewebsites.net/images/logo-mow.png,14,0,0
1755307855694,14,HTTP Request (Home-5),200,OK,Thread Group 1-5,bin,true,,7236,849,5,5,https://mow.azurewebsites.net/images/logo-mow.png,14,0,0
1755307855694,15,HTTP Request (Home-5),200,OK,Thread Group 1-3,bin,true,,7236,849,5,5,https://mow.azurewebsites.net/images/logo-mow.png,15,0,0
1755307855694,15,HTTP Request (Home-5),200,OK,Thread Group 1-2,bin,true,,7236,849,5,5,https://mow.azurewebsites.net/images/logo-mow.png,15,0,0
1755307855694,16,HTTP Request (Home-5),200,OK,Thread Group 1-4,bin,true,,7236,849,5,5,https://mow.azurewebsites.net/images/logo-mow.png,16,0,0
1755307855709,13,HTTP Request (Home-6),200,OK,Thread Group 1-1,bin,true,,7236,849,5,5,https://mow.azurewebsites.net/images/logo-mow.png,13,0,0
