timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1755310501384,63,HTTP Request (Access-1),200,OK,Thread Group 1-1,text,true,,3140,757,1,1,https://mow.azurewebsites.net/access?access=Login,62,0,33
1755310501447,11,HTTP Request (Access-2),200,OK,Thread Group 1-1,text,true,,11330,816,1,1,https://mow.azurewebsites.net/css/jquery-ui.css,10,0,0
1755310501458,9,HTTP Request (Access-3),200,OK,Thread Group 1-1,text,true,,1483,813,1,1,https://mow.azurewebsites.net/css/styles.css,9,0,0
1755310501467,10,HTTP Request (Access-4),200,OK,Thread Group 1-1,bin,true,,7236,864,1,1,https://mow.azurewebsites.net/images/logo-mow.png,9,0,0
1755310501477,8,HTTP Request (Access-5),200,OK,Thread Group 1-1,bin,true,,7719,869,1,1,https://mow.azurewebsites.net/images/logo-facebook.png,8,0,0
1755310501485,9,HTTP Request (Access-6),200,OK,Thread Group 1-1,bin,true,,11173,875,1,1,https://mow.azurewebsites.net/images/portrait-lim-ivonne.jpg,9,0,0
1755310501494,17,HTTP Request (Access-7),200,OK,Thread Group 1-1,text,true,,113683,797,1,1,https://mow.azurewebsites.net/js/jquery.js,10,0,0
1755310501512,31,HTTP Request (Access-8),200,OK,Thread Group 1-1,text,true,,178280,800,1,1,https://mow.azurewebsites.net/js/jquery-ui.js,12,0,0
1755310501543,9,HTTP Request (Access-9),200,OK,Thread Group 1-1,text,true,,1217,798,1,1,https://mow.azurewebsites.net/js/scripts.js,9,0,0
1755310501383,167,Transaction Controller (Access),200,"Number of samples in transaction : 9, number of failing samples : 0",Thread Group 1-1,,true,,335261,7389,1,1,null,138,2,33
1755310501591,45,HTTP Request (Access-1),200,OK,Thread Group 1-2,text,true,,3140,757,2,2,https://mow.azurewebsites.net/access?access=Login,45,0,14
1755310501636,9,HTTP Request (Access-2),200,OK,Thread Group 1-2,text,true,,11330,816,2,2,https://mow.azurewebsites.net/css/jquery-ui.css,9,0,0
1755310501645,10,HTTP Request (Access-3),200,OK,Thread Group 1-2,text,true,,1483,813,2,2,https://mow.azurewebsites.net/css/styles.css,10,0,0
1755310501655,10,HTTP Request (Access-4),200,OK,Thread Group 1-2,bin,true,,7236,864,2,2,https://mow.azurewebsites.net/images/logo-mow.png,10,0,0
1755310501665,9,HTTP Request (Access-5),200,OK,Thread Group 1-2,bin,true,,7719,869,2,2,https://mow.azurewebsites.net/images/logo-facebook.png,8,0,0
1755310501674,8,HTTP Request (Access-6),200,OK,Thread Group 1-2,bin,true,,11173,875,2,2,https://mow.azurewebsites.net/images/portrait-lim-ivonne.jpg,8,0,0
1755310501682,18,HTTP Request (Access-7),200,OK,Thread Group 1-2,text,true,,113681,797,2,2,https://mow.azurewebsites.net/js/jquery.js,9,0,0
1755310501552,174,HTTP Request (Login-10),200,OK,Thread Group 1-1,text,true,,3215,2369,2,2,https://mow.azurewebsites.net/login_success,155,0,0
1755310501552,155,HTTP Request (Login-10)-0,302,,Thread Group 1-1,,true,,470,1272,2,2,https://mow.azurewebsites.net/login,155,0,0
1755310501707,19,HTTP Request (Login-10)-1,200,OK,Thread Group 1-1,text,true,,2745,1097,2,2,https://mow.azurewebsites.net/login_success,19,0,0
1755310501700,28,HTTP Request (Access-8),200,OK,Thread Group 1-2,text,true,,178280,800,2,2,https://mow.azurewebsites.net/js/jquery-ui.js,8,0,0
1755310501728,8,HTTP Request (Access-9),200,OK,Thread Group 1-2,text,true,,1217,798,2,2,https://mow.azurewebsites.net/js/scripts.js,8,0,0
1755310501726,10,HTTP Request (Login-12),200,OK,Thread Group 1-1,text,true,,11323,810,2,2,https://mow.azurewebsites.net/css/jquery-ui.css,9,0,0
1755310501591,145,Transaction Controller (Access),200,"Number of samples in transaction : 9, number of failing samples : 0",Thread Group 1-2,,true,,335259,7389,2,2,null,115,0,14
1755310501736,8,HTTP Request (Login-13),200,OK,Thread Group 1-1,text,true,,1483,807,2,2,https://mow.azurewebsites.net/css/styles.css,8,0,0
1755310501744,8,HTTP Request (Login-14),200,OK,Thread Group 1-1,bin,true,,7236,858,2,2,https://mow.azurewebsites.net/images/logo-mow.png,8,0,0
1755310501752,8,HTTP Request (Login-15),200,OK,Thread Group 1-1,bin,true,,11173,869,2,2,https://mow.azurewebsites.net/images/portrait-lim-ivonne.jpg,7,0,0
1755310501760,18,HTTP Request (Login-16),200,OK,Thread Group 1-1,text,true,,113683,791,2,2,https://mow.azurewebsites.net/js/jquery.js,8,0,0
1755310501778,25,HTTP Request (Login-17),200,OK,Thread Group 1-1,text,true,,178274,794,3,3,https://mow.azurewebsites.net/js/jquery-ui.js,8,0,0
1755310501803,8,HTTP Request (Login-18),200,OK,Thread Group 1-1,text,true,,1217,792,3,3,https://mow.azurewebsites.net/js/scripts.js,8,0,0
1755310501552,259,Transaction Controller (Login),200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-1,,true,,327604,8090,3,3,null,211,0,0
