timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1755307855910,183,HTTP Request (Contacts-1),200,OK,Thread Group 1-5,text,true,,2758,963,5,5,https://mow.azurewebsites.net/contacts,182,0,0
1755307855912,181,HTTP Request (Contacts-1),200,OK,Thread Group 1-2,text,true,,2758,963,5,5,https://mow.azurewebsites.net/contacts,180,0,0
1755307855911,187,HTTP Request (Contacts-1),200,OK,Thread Group 1-4,text,true,,2758,963,5,5,https://mow.azurewebsites.net/contacts,187,0,0
1755307855913,185,HTTP Request (Contacts-1),200,OK,Thread Group 1-1,text,true,,2758,963,5,5,https://mow.azurewebsites.net/contacts,185,0,0
1755307856093,18,HTTP Request (Contacts-2),200,OK,Thread Group 1-5,text,true,,11330,805,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,17,0,0
1755307856093,19,HTTP Request (Contacts-2),200,OK,Thread Group 1-2,text,true,,11330,805,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,18,0,0
1755307856112,8,HTTP Request (Contacts-3),200,OK,Thread Group 1-2,text,true,,1483,802,5,5,https://mow.azurewebsites.net/css/styles.css,8,0,0
1755307856120,9,HTTP Request (Contacts-4),200,OK,Thread Group 1-2,bin,true,,7236,853,5,5,https://mow.azurewebsites.net/images/logo-mow.png,9,0,0
1755307856129,9,HTTP Request (Contacts-5),200,OK,Thread Group 1-2,bin,true,,7719,858,5,5,https://mow.azurewebsites.net/images/logo-facebook.png,9,0,0
1755307856139,9,HTTP Request (Contacts-6),200,OK,Thread Group 1-2,bin,true,,88941,866,5,5,https://mow.azurewebsites.net/images/background-road.jpg,8,0,0
1755307856148,11,HTTP Request (Contacts-7),200,OK,Thread Group 1-2,bin,true,,11173,864,5,5,https://mow.azurewebsites.net/images/portrait-lim-ivonne.jpg,11,0,0
1755307856111,67,HTTP Request (Contacts-3),200,OK,Thread Group 1-5,text,true,,1483,802,5,5,https://mow.azurewebsites.net/css/styles.css,67,0,0
1755307856099,80,HTTP Request (Contacts-2),200,OK,Thread Group 1-4,text,true,,11330,805,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,80,0,0
1755307856099,80,HTTP Request (Contacts-2),200,OK,Thread Group 1-1,text,true,,11330,805,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,79,0,0
1755307856159,20,HTTP Request (Contacts-8),200,OK,Thread Group 1-2,text,true,,113683,786,5,5,https://mow.azurewebsites.net/js/jquery.js,9,0,0
1755307856180,12,HTTP Request (Contacts-3),200,OK,Thread Group 1-1,text,true,,1483,802,5,5,https://mow.azurewebsites.net/css/styles.css,11,0,0
1755307856179,13,HTTP Request (Contacts-4),200,OK,Thread Group 1-5,bin,true,,7236,853,5,5,https://mow.azurewebsites.net/images/logo-mow.png,13,0,0
1755307856180,12,HTTP Request (Contacts-3),200,OK,Thread Group 1-4,text,true,,1483,802,5,5,https://mow.azurewebsites.net/css/styles.css,12,0,0
1755307856192,10,HTTP Request (Contacts-4),200,OK,Thread Group 1-4,bin,true,,7236,853,5,5,https://mow.azurewebsites.net/images/logo-mow.png,10,0,0
1755307856192,11,HTTP Request (Contacts-4),200,OK,Thread Group 1-1,bin,true,,7236,853,5,5,https://mow.azurewebsites.net/images/logo-mow.png,10,0,0
1755307856192,11,HTTP Request (Contacts-5),200,OK,Thread Group 1-5,bin,true,,7719,858,5,5,https://mow.azurewebsites.net/images/logo-facebook.png,11,0,0
1755307856180,33,HTTP Request (Contacts-9),200,OK,Thread Group 1-2,text,true,,178266,789,5,5,https://mow.azurewebsites.net/js/jquery-ui.js,11,0,0
1755307856203,11,HTTP Request (Contacts-5),200,OK,Thread Group 1-4,bin,true,,7719,858,5,5,https://mow.azurewebsites.net/images/logo-facebook.png,11,0,0
1755307856203,11,HTTP Request (Contacts-5),200,OK,Thread Group 1-1,bin,true,,7719,858,5,5,https://mow.azurewebsites.net/images/logo-facebook.png,11,0,0
1755307856203,12,HTTP Request (Contacts-6),200,OK,Thread Group 1-5,bin,true,,88941,866,5,5,https://mow.azurewebsites.net/images/background-road.jpg,11,0,0
1755307856214,10,HTTP Request (Contacts-10),200,OK,Thread Group 1-2,text,true,,1217,787,5,5,https://mow.azurewebsites.net/js/scripts.js,10,0,0
1755307855912,309,Transaction Controller (Contacts),200,"Number of samples in transaction : 10, number of failing samples : 0",Thread Group 1-2,,true,,423806,8373,5,5,null,273,3,0
1755307856215,10,HTTP Request (Contacts-7),200,OK,Thread Group 1-5,bin,true,,11173,864,5,5,https://mow.azurewebsites.net/images/portrait-lim-ivonne.jpg,10,0,0
1755307856215,11,HTTP Request (Contacts-6),200,OK,Thread Group 1-1,bin,true,,88941,866,5,5,https://mow.azurewebsites.net/images/background-road.jpg,9,0,0
1755307856215,11,HTTP Request (Contacts-6),200,OK,Thread Group 1-4,bin,true,,88941,866,5,5,https://mow.azurewebsites.net/images/background-road.jpg,10,0,0
1755307856226,11,HTTP Request (Contacts-7),200,OK,Thread Group 1-4,bin,true,,11173,864,5,5,https://mow.azurewebsites.net/images/portrait-lim-ivonne.jpg,11,0,0
1755307856226,11,HTTP Request (Contacts-7),200,OK,Thread Group 1-1,bin,true,,11173,864,5,5,https://mow.azurewebsites.net/images/portrait-lim-ivonne.jpg,11,0,0
1755307856226,23,HTTP Request (Contacts-8),200,OK,Thread Group 1-5,text,true,,113683,786,5,5,https://mow.azurewebsites.net/js/jquery.js,11,0,0
1755307856237,23,HTTP Request (Contacts-8),200,OK,Thread Group 1-1,text,true,,113683,786,5,5,https://mow.azurewebsites.net/js/jquery.js,10,0,0
1755307856237,24,HTTP Request (Contacts-8),200,OK,Thread Group 1-4,text,true,,113683,786,5,5,https://mow.azurewebsites.net/js/jquery.js,10,0,0
1755307856249,29,HTTP Request (Contacts-9),200,OK,Thread Group 1-5,text,true,,178280,789,5,5,https://mow.azurewebsites.net/js/jquery-ui.js,9,0,0
1755307856278,10,HTTP Request (Contacts-10),200,OK,Thread Group 1-5,text,true,,1217,787,5,5,https://mow.azurewebsites.net/js/scripts.js,10,0,0
1755307855910,376,Transaction Controller (Contacts),200,"Number of samples in transaction : 10, number of failing samples : 0",Thread Group 1-5,,true,,423820,8373,5,5,null,341,2,0
1755307856261,33,HTTP Request (Contacts-9),200,OK,Thread Group 1-1,text,true,,178280,789,4,4,https://mow.azurewebsites.net/js/jquery-ui.js,15,0,0
1755307856262,32,HTTP Request (Contacts-9),200,OK,Thread Group 1-4,text,true,,178280,789,4,4,https://mow.azurewebsites.net/js/jquery-ui.js,13,0,0
1755307856294,9,HTTP Request (Contacts-10),200,OK,Thread Group 1-1,text,true,,1217,787,4,4,https://mow.azurewebsites.net/js/scripts.js,9,0,0
1755307855912,386,Transaction Controller (Contacts),200,"Number of samples in transaction : 10, number of failing samples : 0",Thread Group 1-1,,true,,423820,8373,4,4,null,350,5,0
1755307856295,22,HTTP Request (Contacts-10),200,OK,Thread Group 1-4,text,true,,1217,787,4,4,https://mow.azurewebsites.net/js/scripts.js,22,0,0
1755307855910,400,Transaction Controller (Contacts),200,"Number of samples in transaction : 10, number of failing samples : 0",Thread Group 1-4,,true,,423820,8373,4,4,null,366,7,0
1755307856477,15,HTTP Request (Contacts-1),200,OK,Thread Group 1-3,text,true,,2758,963,4,4,https://mow.azurewebsites.net/contacts,15,0,0
1755307856493,9,HTTP Request (Contacts-2),200,OK,Thread Group 1-3,text,true,,11330,805,4,4,https://mow.azurewebsites.net/css/jquery-ui.css,8,0,0
1755307856502,8,HTTP Request (Contacts-3),200,OK,Thread Group 1-3,text,true,,1483,802,4,4,https://mow.azurewebsites.net/css/styles.css,8,0,0
1755307856510,8,HTTP Request (Contacts-4),200,OK,Thread Group 1-3,bin,true,,7236,853,4,4,https://mow.azurewebsites.net/images/logo-mow.png,8,0,0
1755307856518,8,HTTP Request (Contacts-5),200,OK,Thread Group 1-3,bin,true,,7719,858,4,4,https://mow.azurewebsites.net/images/logo-facebook.png,8,0,0
1755307856526,12,HTTP Request (Contacts-6),200,OK,Thread Group 1-3,bin,true,,88941,866,4,4,https://mow.azurewebsites.net/images/background-road.jpg,8,0,0
1755307856538,1255,HTTP Request (Contacts-7),200,OK,Thread Group 1-3,bin,true,,11173,864,4,4,https://mow.azurewebsites.net/images/portrait-lim-ivonne.jpg,1243,0,0
1755307857793,24,HTTP Request (Contacts-8),200,OK,Thread Group 1-3,text,true,,113683,786,4,4,https://mow.azurewebsites.net/js/jquery.js,8,0,0
1755307857817,21,HTTP Request (Contacts-9),200,OK,Thread Group 1-3,text,true,,178274,789,4,4,https://mow.azurewebsites.net/js/jquery-ui.js,8,0,0
1755307857839,7,HTTP Request (Contacts-10),200,OK,Thread Group 1-3,text,true,,1217,787,4,4,https://mow.azurewebsites.net/js/scripts.js,7,0,0
1755307856476,1367,Transaction Controller (Contacts),200,"Number of samples in transaction : 10, number of failing samples : 0",Thread Group 1-3,,true,,423814,8373,4,4,null,1321,4,0
