timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1755310505395,144,HTTP Request (Meal-Preparation-1),200,OK,Thread Group 1-4,text,true,,2676,980,5,5,https://mow.azurewebsites.net/meal-preparation,144,0,0
1755310505539,8,HTTP Request (Meal-Preparation-2),200,OK,Thread Group 1-4,text,true,,11330,813,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,7,0,0
1755310505547,6,HTTP Request (Meal-Preparation-3),200,OK,Thread Group 1-4,text,true,,1483,810,5,5,https://mow.azurewebsites.net/css/styles.css,6,0,0
1755310505553,7,HTTP Request (Meal-Preparation-4),200,OK,Thread Group 1-4,bin,true,,7236,861,5,5,https://mow.azurewebsites.net/images/logo-mow.png,7,0,0
1755310505560,12,HTTP Request (Meal-Preparation-5),200,OK,Thread Group 1-4,bin,true,,173904,863,5,5,https://mow.azurewebsites.net/images/diet-halal.jpg,8,0,0
1755310505572,12,HTTP Request (Meal-Preparation-6),200,OK,Thread Group 1-4,bin,true,,355477,868,5,5,https://mow.azurewebsites.net/images/diet-vegetarian.jpg,7,0,0
1755310505584,8,HTTP Request (Meal-Preparation-7),200,OK,Thread Group 1-4,bin,true,,76743,862,5,5,https://mow.azurewebsites.net/images/diet-soft.jpg,7,0,0
1755310505592,8,HTTP Request (Meal-Preparation-8),200,OK,Thread Group 1-4,bin,true,,124871,864,5,5,https://mow.azurewebsites.net/images/diet-normal.jpg,7,0,0
1755310505586,16,HTTP Request (Meal-Preparation-1),200,OK,Thread Group 1-3,text,true,,2676,980,5,5,https://mow.azurewebsites.net/meal-preparation,16,0,0
1755310505601,7,HTTP Request (Meal-Preparation-9),200,OK,Thread Group 1-4,bin,true,,11173,872,5,5,https://mow.azurewebsites.net/images/portrait-lim-ivonne.jpg,6,0,0
1755310505592,16,HTTP Request (Meal-Preparation-1),200,OK,Thread Group 1-5,text,true,,2676,980,5,5,https://mow.azurewebsites.net/meal-preparation,16,0,0
1755310505602,7,HTTP Request (Meal-Preparation-2),200,OK,Thread Group 1-3,text,true,,11330,813,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,7,0,0
1755310505594,19,HTTP Request (Meal-Preparation-1),200,OK,Thread Group 1-2,text,true,,2676,980,5,5,https://mow.azurewebsites.net/meal-preparation,19,0,0
1755310505609,8,HTTP Request (Meal-Preparation-3),200,OK,Thread Group 1-3,text,true,,1483,810,5,5,https://mow.azurewebsites.net/css/styles.css,8,0,0
1755310505608,10,HTTP Request (Meal-Preparation-2),200,OK,Thread Group 1-5,text,true,,11330,813,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,9,0,0
1755310505613,9,HTTP Request (Meal-Preparation-2),200,OK,Thread Group 1-2,text,true,,11323,813,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,8,0,0
1755310505617,9,HTTP Request (Meal-Preparation-4),200,OK,Thread Group 1-3,bin,true,,7236,861,5,5,https://mow.azurewebsites.net/images/logo-mow.png,9,0,0
1755310505618,9,HTTP Request (Meal-Preparation-3),200,OK,Thread Group 1-5,text,true,,1483,810,5,5,https://mow.azurewebsites.net/css/styles.css,9,0,0
1755310505608,19,HTTP Request (Meal-Preparation-10),200,OK,Thread Group 1-4,text,true,,113683,794,5,5,https://mow.azurewebsites.net/js/jquery.js,9,0,0
1755310505609,20,HTTP Request (Meal-Preparation-1),200,OK,Thread Group 1-1,text,true,,2676,980,5,5,https://mow.azurewebsites.net/meal-preparation,20,0,0
1755310505622,7,HTTP Request (Meal-Preparation-3),200,OK,Thread Group 1-2,text,true,,1483,810,5,5,https://mow.azurewebsites.net/css/styles.css,7,0,0
1755310505628,8,HTTP Request (Meal-Preparation-4),200,OK,Thread Group 1-5,bin,true,,7236,861,5,5,https://mow.azurewebsites.net/images/logo-mow.png,8,0,0
1755310505629,8,HTTP Request (Meal-Preparation-4),200,OK,Thread Group 1-2,bin,true,,7236,861,5,5,https://mow.azurewebsites.net/images/logo-mow.png,8,0,0
1755310505629,9,HTTP Request (Meal-Preparation-2),200,OK,Thread Group 1-1,text,true,,11330,813,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,8,0,0
1755310505627,13,HTTP Request (Meal-Preparation-5),200,OK,Thread Group 1-3,bin,true,,173904,863,5,5,https://mow.azurewebsites.net/images/diet-halal.jpg,9,0,0
1755310505638,7,HTTP Request (Meal-Preparation-3),200,OK,Thread Group 1-1,text,true,,1483,810,5,5,https://mow.azurewebsites.net/css/styles.css,7,0,0
1755310505645,7,HTTP Request (Meal-Preparation-4),200,OK,Thread Group 1-1,bin,true,,7236,861,5,5,https://mow.azurewebsites.net/images/logo-mow.png,7,0,0
1755310505636,18,HTTP Request (Meal-Preparation-5),200,OK,Thread Group 1-5,bin,true,,173904,863,5,5,https://mow.azurewebsites.net/images/diet-halal.jpg,11,0,0
1755310505640,15,HTTP Request (Meal-Preparation-6),200,OK,Thread Group 1-3,bin,true,,355477,868,5,5,https://mow.azurewebsites.net/images/diet-vegetarian.jpg,7,0,0
1755310505628,27,HTTP Request (Meal-Preparation-11),200,OK,Thread Group 1-4,text,true,,178286,797,5,5,https://mow.azurewebsites.net/js/jquery-ui.js,9,0,0
1755310505637,22,HTTP Request (Meal-Preparation-5),200,OK,Thread Group 1-2,bin,true,,173904,863,5,5,https://mow.azurewebsites.net/images/diet-halal.jpg,10,0,0
1755310505655,9,HTTP Request (Meal-Preparation-12),200,OK,Thread Group 1-4,text,true,,1217,795,5,5,https://mow.azurewebsites.net/js/scripts.js,9,0,0
1755310505395,267,Transaction Controller (Meal-Preparation),200,"Number of samples in transaction : 12, number of failing samples : 0",Thread Group 1-4,,true,,1058079,10179,5,5,null,226,2,0
1755310505655,10,HTTP Request (Meal-Preparation-7),200,OK,Thread Group 1-3,bin,true,,76743,862,5,5,https://mow.azurewebsites.net/images/diet-soft.jpg,9,0,0
1755310505652,14,HTTP Request (Meal-Preparation-5),200,OK,Thread Group 1-1,bin,true,,173904,863,5,5,https://mow.azurewebsites.net/images/diet-halal.jpg,6,0,0
1755310505666,10,HTTP Request (Meal-Preparation-8),200,OK,Thread Group 1-3,bin,true,,124871,864,5,5,https://mow.azurewebsites.net/images/diet-normal.jpg,7,0,0
1755310505676,7,HTTP Request (Meal-Preparation-9),200,OK,Thread Group 1-3,bin,true,,11173,872,5,5,https://mow.azurewebsites.net/images/portrait-lim-ivonne.jpg,7,0,0
