timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1755311401370,54,HTTP Request (Access-1),200,OK,Thread Group 1-1,text,true,,3140,757,1,1,https://mow.azurewebsites.net/access?access=Login,54,0,25
1755311401424,13,HTTP Request (Access-2),200,OK,Thread Group 1-1,text,true,,11330,816,1,1,https://mow.azurewebsites.net/css/jquery-ui.css,12,0,0
1755311401437,10,HTTP Request (Access-3),200,OK,Thread Group 1-1,text,true,,1483,813,1,1,https://mow.azurewebsites.net/css/styles.css,10,0,0
1755311401447,13,HTTP Request (Access-4),200,OK,Thread Group 1-1,bin,true,,7236,864,1,1,https://mow.azurewebsites.net/images/logo-mow.png,13,0,0
1755311401460,12,HTTP Request (Access-5),200,OK,Thread Group 1-1,bin,true,,7719,869,1,1,https://mow.azurewebsites.net/images/logo-facebook.png,12,0,0
1755311401472,13,HTTP Request (Access-6),200,OK,Thread Group 1-1,bin,true,,11173,875,1,1,https://mow.azurewebsites.net/images/portrait-lim-ivonne.jpg,13,0,0
1755311401485,32,HTTP Request (Access-7),200,OK,Thread Group 1-1,text,true,,113674,797,1,1,https://mow.azurewebsites.net/js/jquery.js,21,0,0
1755311401517,29,HTTP Request (Access-8),200,OK,Thread Group 1-1,text,true,,178246,800,1,1,https://mow.azurewebsites.net/js/jquery-ui.js,11,0,0
1755311401546,11,HTTP Request (Access-9),200,OK,Thread Group 1-1,text,true,,1217,798,1,1,https://mow.azurewebsites.net/js/scripts.js,11,0,0
1755311401370,187,Transaction Controller (Access),200,"Number of samples in transaction : 9, number of failing samples : 0",Thread Group 1-1,,true,,335218,7389,1,1,null,157,0,25
1755311401578,37,HTTP Request (Access-1),200,OK,Thread Group 1-2,text,true,,3140,757,2,2,https://mow.azurewebsites.net/access?access=Login,37,0,11
1755311401615,9,HTTP Request (Access-2),200,OK,Thread Group 1-2,text,true,,11330,816,2,2,https://mow.azurewebsites.net/css/jquery-ui.css,8,0,0
1755311401624,6,HTTP Request (Access-3),200,OK,Thread Group 1-2,text,true,,1483,813,2,2,https://mow.azurewebsites.net/css/styles.css,6,0,0
