timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1755311407223,25,HTTP Request (Logout-1),200,OK,Thread Group 1-3,text,true,,3194,2367,5,5,https://mow.azurewebsites.net/logout_success,7,0,0
1755311407223,7,HTTP Request (Logout-1)-0,302,,Thread Group 1-3,,true,,571,1271,5,5,https://mow.azurewebsites.net/logout,7,0,0
1755311407230,18,HTTP Request (Logout-1)-1,200,OK,Thread Group 1-3,text,true,,2623,1096,5,5,https://mow.azurewebsites.net/logout_success,18,0,0
1755311407221,27,HTTP Request (Logout-1),200,OK,Thread Group 1-1,text,true,,3194,2367,5,5,https://mow.azurewebsites.net/logout_success,9,0,0
1755311407221,9,HTTP Request (Logout-1)-0,302,,Thread Group 1-1,,true,,571,1271,5,5,https://mow.azurewebsites.net/logout,9,0,0
1755311407230,18,HTTP Request (Logout-1)-1,200,OK,Thread Group 1-1,text,true,,2623,1096,5,5,https://mow.azurewebsites.net/logout_success,18,0,0
1755311407221,29,HTTP Request (Logout-1),200,OK,Thread Group 1-5,text,true,,3194,2367,5,5,https://mow.azurewebsites.net/logout_success,9,0,0
1755311407221,9,HTTP Request (Logout-1)-0,302,,Thread Group 1-5,,true,,571,1271,5,5,https://mow.azurewebsites.net/logout,9,0,0
1755311407230,20,HTTP Request (Logout-1)-1,200,OK,Thread Group 1-5,text,true,,2623,1096,5,5,https://mow.azurewebsites.net/logout_success,20,0,0
1755311407233,20,HTTP Request (Logout-1),200,OK,Thread Group 1-2,text,true,,3194,2367,5,5,https://mow.azurewebsites.net/logout_success,5,0,0
1755311407233,5,HTTP Request (Logout-1)-0,302,,Thread Group 1-2,,true,,571,1271,5,5,https://mow.azurewebsites.net/logout,5,0,0
1755311407238,15,HTTP Request (Logout-1)-1,200,OK,Thread Group 1-2,text,true,,2623,1096,5,5,https://mow.azurewebsites.net/logout_success,15,0,0
1755311407248,7,HTTP Request (Logout-3),200,OK,Thread Group 1-3,text,true,,11330,811,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,6,0,0
1755311407221,35,HTTP Request (Logout-1),200,OK,Thread Group 1-4,text,true,,3194,2367,5,5,https://mow.azurewebsites.net/logout_success,9,0,0
1755311407221,9,HTTP Request (Logout-1)-0,302,,Thread Group 1-4,,true,,571,1271,5,5,https://mow.azurewebsites.net/logout,9,0,0
1755311407230,26,HTTP Request (Logout-1)-1,200,OK,Thread Group 1-4,text,true,,2623,1096,5,5,https://mow.azurewebsites.net/logout_success,26,0,0
1755311407248,8,HTTP Request (Logout-3),200,OK,Thread Group 1-1,text,true,,11330,811,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,7,0,0
1755311407250,9,HTTP Request (Logout-3),200,OK,Thread Group 1-5,text,true,,11330,811,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,8,0,0
